Date,Code INSEE région,Consommation (MW),Thermique (MW),Nucléaire (MW),Eolien (MW),Solaire (MW),Hydraulique (MW),Bioénergies (MW),Ech. physiques (MW),Stockage batterie
2013-01-08,76,283626.0,4119.0,118286.0,5648.0,1966.0,90629.0,3181.0,67017.0,0.0
2013-01-08,84,467581.0,14242.0,645573.0,2747.0,1526.0,219382.0,3344.0,-403621.0,0.0
2013-01-08,93,280984.0,63168.0,0.0,216.0,2300.0,73789.0,3155.0,138252.0,0.0
2013-01-09,11,540858.0,51245.0,0.0,24.0,24.0,0.0,6169.0,483302.0,0.0
2013-01-09,24,146992.0,4676.0,511731.0,948.0,82.0,1097.0,849.0,-372479.0,0.0
2013-01-09,27,161345.0,21027.0,0.0,46.0,56.0,10222.0,679.0,129171.0,0.0
2013-01-09,28,208739.0,40652.0,493356.0,2489.0,20.0,805.0,2634.0,-331375.0,0.0
2013-01-09,32,353146.0,59106.0,234414.0,6784.0,18.0,48.0,3631.0,48970.0,0.0
2013-01-09,44,328930.0,75950.0,474193.0,1749.0,154.0,57958.0,2816.0,-277241.0,0.0
2013-01-09,52,205382.0,69691.0,0.0,977.0,183.0,76.0,1504.0,132836.0,0.0
2013-01-09,53,162355.0,3080.0,0.0,3023.0,51.0,2977.0,861.0,152516.0,0.0
2013-01-09,75,329967.0,12455.0,321263.0,215.0,886.0,35254.0,6537.0,-46847.0,0.0
2013-01-09,76,290562.0,4220.0,123575.0,4267.0,1740.0,97887.0,3801.0,61788.0,0.0
2013-01-09,84,489207.0,13992.0,646273.0,1281.0,910.0,241860.0,3183.0,-404412.0,0.0
2013-01-09,93,283434.0,40356.0,0.0,81.0,2576.0,70573.0,3180.0,166565.0,0.0
2013-01-10,11,523950.0,52081.0,0.0,65.0,23.0,0.0,5940.0,465730.0,0.0
2013-01-10,24,141680.0,4583.0,504007.0,5643.0,100.0,1449.0,928.0,-375109.0,0.0
2013-01-10,27,162444.0,20689.0,0.0,735.0,56.0,8372.0,651.0,131762.0,0.0
2013-01-10,28,200916.0,24768.0,493523.0,1783.0,46.0,816.0,2636.0,-322822.0,0.0
2013-01-10,32,350525.0,56457.0,237329.0,565.0,88.0,48.0,3575.0,52290.0,0.0
2013-01-10,44,329121.0,72437.0,472790.0,4126.0,239.0,56967.0,2879.0,-272541.0,0.0
